

2025-03-08 09:58:28,5,5
2025-03-08 10:00:05,5,5
2025-03-08 10:00:17,5,5
2025-03-08 10:00:29,5,5
2025-03-08 10:00:41,5,5
2025-03-08 10:00:53,5,5
2025-03-08 10:01:06,6,6
2025-03-08 10:01:18,6,6
2025-03-08 10:01:30,6,6
2025-03-08 10:01:42,6,6
2025-03-08 10:01:54,7,7
2025-03-08 10:02:06,7,7
2025-03-08 10:02:18,5,5
2025-03-08 10:02:30,12,12
2025-03-08 10:02:42,12,12
2025-03-08 10:02:54,5,5
2025-03-08 10:03:05,9,9
2025-03-08 10:03:17,10,10
2025-03-08 10:03:29,10,10
2025-03-08 10:03:41,5,5
2025-03-08 10:03:54,11,11
2025-03-08 10:04:06,11,11
2025-03-08 10:04:18,15,15
2025-03-08 10:04:30,15,15
2025-03-08 10:04:42,17,17

2025-03-08 17:13:23,5,5
2025-03-08 18:13:25,5,5
2025-03-08 19:13:32,5,5
